"UID","OrganizationIdentifier","OrganizationFormalName","ProviderName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","IR_FLAG","IR_COMMENT","IR_MLID","IR_MLNAME","ASSESS_ID","AU_NAME","AU_Type","Water_Type","R317Descrp","ss_R317Descrp","BEN_CLASS","MLID_Count","Lat_Count","Long_Count","sites100m_count","LatitudeMeasure","LongitudeMeasure","IR_Lat","IR_Long","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ValidationType"
279,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4997250","SPRING CK AB CNFL / PROVO R NR HEBER","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4997250","SPRING CK AB CNFL / PROVO R NR HEBER","UT16020203-027_00","Spring Creek-Heber","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.50023865,-111.4442507,40.50023865,-111.4442507,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
280,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4997300","PROVO R AT MIDWAY CUTOFF RD XING N OF HEBER","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4997300","PROVO R AT MIDWAY CUTOFF RD XING N OF HEBER","UT16020203-004_00","Provo River-4","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.55412408,-111.431579,40.55412408,-111.431579,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
281,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4997330","PROVO R BL JORDANELLE RES. ON OLD US4O XING","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4997330","PROVO R BL JORDANELLE RES. ON OLD US4O XING","UT16020203-004_00","Provo River-4","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.59495075,-111.4271377,40.59495075,-111.4271377,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
282,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4997675","Big Dutch Pete Stream bl Mayflower in Jordanelle State Park","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-4997675","Big Dutch Pete Stream bl Mayflower in Jordanelle State Park","UT16020203-016_00","McHenry Creek","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.61708488,-111.4321258,40.61708488,-111.4321258,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
283,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4998130","PROVO R AT BRIDGE 2.5 MI E OF HAILSTONE JUNCTION","River/Stream",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020203-003_00","Jordanelle Reservoir","Reservoir/Lake","Lake / Reservoir","Jordanelle Reservoir",NA,"1C,2A,3A,4",NA,NA,NA,NA,40.60078244,-111.3601829,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
284,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4998140","WEBER-PROVO CANAL DIVERSION AT US 189 ALT XING","Canal Transport",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.60994969,-111.305182,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
285,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-4998400","PROVO R AB WOODLAND AT USGS GAGE NO.10154200","River/Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT16020203-006_00","Provo River-6","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,1,40.55772578,-111.1687786,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
286,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5910020","LOWER CHARLESTON CANAL AB CNFL / DANIELS CK","Canal Transport",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16020203-011_00","Daniels Creek-1","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.46134663,-111.4715707,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
287,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5910160","SNAKE CK AB CNFL/PROVO R","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5910160","SNAKE CK AB CNFL/PROVO R","UT16020203-014_00","Snake Creek-1","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.482097,-111.470603,40.482097,-111.470603,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
288,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5910250","PROVO R HEBER-MIDWAY RD (U-113) XING BL BERKENSHAW POND","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5910250","PROVO R HEBER-MIDWAY RD (U-113) XING BL BERKENSHAW POND","UT16020203-004_00","Provo River-4","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.50717276,-111.4496313,40.50717276,-111.4496313,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
289,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5910273","London Ditch @ 1200 North Heber","Canal Drainage",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16020203-027_00","Spring Creek-Heber","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.52178496,-111.4160481,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
290,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5910302","London Ditch at US 40 Xing","Canal Drainage",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT","UT16020203-027_00","Spring Creek-Heber","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",NA,NA,NA,NA,40.53625012,-111.4119103,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
291,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5911120","NORTHWESTWARD FLOW TO PROVO R FROM MARSH N OF RR-E OF PROVOR","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5911120","NORTHWESTWARD FLOW TO PROVO R FROM MARSH N OF RR-E OF PROVOR","UT16020203-026_00","Heber Valley","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.48579242,-111.4615709,40.48579242,-111.4615709,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
292,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913210","PROVO RIVER BL DEER CREEK RES","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5913210","PROVO RIVER BL DEER CREEK RES","UT16020203-003_00","Provo River-3","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.40440364,-111.5290839,40.40440364,-111.5290839,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
293,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913220","DEER CREEK RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5913220","DEER CREEK RES AB DAM 01","UT-L-16020203-001_00","Deer Creek Reservoir","Reservoir/Lake","Lake / Reservoir","Deer Creek Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.4091227,-111.5235227,40.4091227,-111.5235227,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
294,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913230","DEER CREEK RES MIDLAKE 02","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5913230","DEER CREEK RES MIDLAKE 02","UT-L-16020203-001_00","Deer Creek Reservoir","Reservoir/Lake","Lake / Reservoir","Deer Creek Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.42523752,-111.5037958,40.42523752,-111.5037958,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
295,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913240","DEER CREEK RES UPPER END 03","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5913240","DEER CREEK RES UPPER END 03","UT-L-16020203-001_00","Deer Creek Reservoir","Reservoir/Lake","Lake / Reservoir","Deer Creek Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.46328944,-111.4832379,40.46328944,-111.4832379,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
296,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913490","DEER CREEK RES 010 100 METERS W OF OUTHOUSE","Lake","Duplicate of 5913220","REJECT","Automatically flagged for rejection","REJECT","REJECT","UT-L-16020203-001_00","Deer Creek Reservoir","Reservoir/Lake","Lake / Reservoir","Deer Creek Reservoir",NA,"1C,2A,3A,4",NA,NA,NA,NA,40.40917111,-111.5227806,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
297,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913520","DANIELS CREEK AB DEER CREEK RES","River/Stream",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT16020203-011_00","Daniels Creek-1","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,1,40.46078804,-111.4715786,NA,NA,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
298,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5913630","PROVO RIVER AB CNFL/ SNAKE CK AT MCKELLER BRIDGE","River/Stream",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5913630","PROVO RIVER AB CNFL/ SNAKE CK AT MCKELLER BRIDGE","UT16020203-004_00","Provo River-4","River/Stream","River / Stream","Provo River and tributaries, from Murdock Diversion to headwaters, except as listed below",NA,"1C,2B,3A,4",1,1,1,0,40.48412029,-111.4651817,40.48412029,-111.4651817,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
299,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5914010","JORDANELLE RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5914010","JORDANELLE RES AB DAM 01","UT-L-16020203-003_00","Jordanelle Reservoir","Reservoir/Lake","Lake / Reservoir","Jordanelle Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.600785,-111.4157456,40.600785,-111.4157456,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
300,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5914030","JORDANELLE RES NORTH ARM 03","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5914030","JORDANELLE RES NORTH ARM 03","UT-L-16020203-003_00","Jordanelle Reservoir","Reservoir/Lake","Lake / Reservoir","Jordanelle Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.61967636,-111.4107435,40.61967636,-111.4107435,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
301,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5914040","JORDANELLE RES PROVO ARM 04","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5914040","JORDANELLE RES PROVO ARM 04","UT-L-16020203-003_00","Jordanelle Reservoir","Reservoir/Lake","Lake / Reservoir","Jordanelle Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.60300804,-111.3851818,40.60300804,-111.3851818,16020203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,51,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
302,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5923310","ROCKPORT RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5923310","ROCKPORT RES AB DAM 01","UT-L-16020101-002_00","Rockport Reservoir","Reservoir/Lake","Lake / Reservoir","Rockport Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.78634027,-111.4046454,40.78634027,-111.4046454,16020101,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
303,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5923320","ROCKPORT RES MIDLAKE EMAP and 02","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5923320","ROCKPORT RES MIDLAKE EMAP and 02","UT-L-16020101-002_00","Rockport Reservoir","Reservoir/Lake","Lake / Reservoir","Rockport Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.77078535,-111.3960313,40.77078535,-111.3960313,16020101,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
304,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5923960","SMITH AND MOREHOUSE RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5923960","SMITH AND MOREHOUSE RES AB DAM 01","UT-L-16020101-005_00","Smith and Morehouse Reservoir","Reservoir/Lake","Lake / Reservoir","Smith Moorehouse Reservoir",NA,"1C,2B,3A,4",1,1,1,0,40.76022952,-111.1037965,40.76022952,-111.1037965,16020101,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,43,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
305,"UTAHDWQ_WQX","Utah Department Of Environmental Quality","STORET","UTAHDWQ_WQX-5937650","RED FLEET RES AB DAM 01","Lake",NA,"ACCEPT","Automatically accepted","UTAHDWQ_WQX-5937650","RED FLEET RES AB DAM 01","UT-L-14060010-008_00","Red Fleet Reservoir","Reservoir/Lake","Lake / Reservoir","Red Fleet Reservoir",NA,"1C,2A,3A,4",1,1,1,0,40.57524053,-109.4226399,40.57524053,-109.4226399,14060010,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",NA,NA,NA,NA,NA,NA,"US",49,47,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
306,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-370733112324501","(C-42-6)20dbc","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-370733112324501","(C-42-6)20dbc","UT15010003-002_00","Kanab Creek-1","River/Stream","River / Stream","Kanab Creek and tributaries, from state line to irrigation diversion at confluence with Reservoir Canyon",NA,"2B,3C,4",1,1,1,0,37.125926,-112.545907,37.125926,-112.545907,15010003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",5314,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,25,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
307,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-370820113293501","Bastian Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-370820113293501","Bastian Spring","UT15010008-004_00","Virgin River-2","River/Stream","River / Stream","Virgin River and tributaries from state line to Quail Creek diversion except as listed below",NA,"2B,3B,4",1,1,1,0,37.13998,-113.494901,37.13998,-113.494901,15010008,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",2927,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,53,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
308,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-373419112283201","(C-37-6)24dcc","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-373419112283201","(C-37-6)24dcc","UT16030001-011_00","Asay Creek","River/Stream","River / Stream","Sevier River and tributaries, from Annabella diversion to headwaters",NA,"2B,3A,4",1,1,1,0,37.57205,-112.475579,37.57205,-112.475579,16030001,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",7057,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,17,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
309,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-373808112401501","Mammoth Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-373808112401501","Mammoth Spring","UT16030001-015_00","Mammoth Creek Upper","River/Stream","River / Stream","Sevier River and tributaries, from Annabella diversion to headwaters",NA,"2B,3A,4",1,1,1,0,37.635435,-112.670943,37.635435,-112.670943,16030001,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",8117,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,17,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
310,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-375248109270501","(D-33-22)25acd Taylor spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-375248109270501","(D-33-22)25acd Taylor spring","UT14080203-008_00","North Creek-Monticello","River/Stream","River / Stream","North Creek and tributaries, from confluence with Montezuma Creek to headwaters",NA,"1C,2B,3A,4",1,1,1,0,37.8791,-109.451795,37.8791,-109.451795,14080203,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",8941,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,37,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
311,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-380539111205401","Pleasant Creek CG Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-380539111205401","Pleasant Creek CG Spring","UT14070003-011_00","Oak Creek","River/Stream","River / Stream","Fremont River and tributaries, through Capitol Reef National Park to headwaters",NA,"1C,2A,3A,4",1,1,1,0,38.094164,-111.348408,38.094164,-111.348408,14070003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",8839,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,17,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
312,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-381848113292701","Willow Spring","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","All waters not specifically classified are presumptively classified",NA,"2B,3D",NA,NA,NA,NA,38.31313,-113.49175,NA,NA,16030009,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",6165,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,1,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
313,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-382043112402201","Phillips Spring Area","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-382043112402201","Phillips Spring Area","UT16030007-002_00","Beaver River-2","River/Stream","River / Stream","Beaver River and tributaries from Minersville City to headwaters",NA,"2B,3A,4",1,1,1,0,38.345812,-112.671426,38.345812,-112.671426,16030007,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",6050,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,1,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
314,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-382238113205301","Antelope Spring","Spring",NA,"REJECT","Automatically flagged for rejection","REJECT","REJECT",NA,NA,"Undefined","River / Stream","All waters not specifically classified are presumptively classified",NA,"2B,3D",NA,NA,NA,NA,38.377222,-113.348058,NA,NA,16030009,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",5568,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,1,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
315,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-382627111383601","Loa Fish Hatchery","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-382627111383601","Loa Fish Hatchery","UT14070003-005_00","Fremont River-2","River/Stream","River / Stream","Fremont River and tributaries, through Capitol Reef National Park to headwaters",NA,"1C,2A,3A,4",1,1,1,0,38.441007,-111.643407,38.441007,-111.643407,14070003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",7158,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,55,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
316,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-383130111494201","Oak Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-383130111494201","Oak Spring","UT16030002-002_00","Otter Creek-1","River/Stream","River / Stream","Sevier River and tributaries, from Annabella diversion to headwaters",NA,"2B,3A,4",1,1,1,0,38.524929,-111.828392,38.524929,-111.828392,16030002,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",7440,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,41,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
317,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-383633111405301","Frying Pan Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-383633111405301","Frying Pan Spring","UT14070003-001_00","Johnson Valley","River/Stream","River / Stream","Fremont River and tributaries, through Capitol Reef National Park to headwaters",NA,"1C,2A,3A,4",1,1,1,0,38.609028,-111.681473,38.609028,-111.681473,14070003,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",9129,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,41,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
318,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-384113109391001","Courthouse Wash","Spring",NA,"REVIEW","Automatically flagged for review","REVIEW",NA,"UT14030005-018_00","Courthouse Wash","River/Stream","River / Stream","Colorado River and tributaries, from Lake Powell to state line except as listed below",NA,"1C,2A,3B,4",1,1,1,1,38.686821,-109.652576,NA,NA,14030005,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",4280,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,19,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
319,"UTAHGS","Utah Geological Survey","STORET","UTAHGS-391020111421301","Nine Mile Spring","Spring",NA,"ACCEPT","Automatically accepted","UTAHGS-391020111421301","Nine Mile Spring","UT16030004-001_00","San Pitch-1","River/Stream","River / Stream","San Pitch River and tributaries, from confluence with Sevier River to Highway U-132 crossing except As listed below:",NA,"2B,3C,3D,4",1,1,1,0,39.172378,-111.703399,39.172378,-111.703399,16030004,NA,NA,NA,NA,NA,NA,NA,"GPS-Unspecified","WGS84",5437,"ft",NA,NA,"Photogrammetric","NAVD88","US",49,39,NA,NA,NA,NA,NA,NA,NA,NA,"AUTO"
